Candidate,Cost
"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[11, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[21, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[31, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[41, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[51, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[61, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[71, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[81, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[91, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 11, 1, 1, 1, 1, 1, 1, 1]","[252.79500000044936, -448.0950000004086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 21, 1, 1, 1, 1, 1, 1, 1]","[503.2199999957811, -893.8199999957142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 31, 1, 1, 1, 1, 1, 1, 1]","[753.7599999919403, -1339.6599999918544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 41, 1, 1, 1, 1, 1, 1, 1]","[1004.7199999824661, -1785.4199999823904, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 51, 1, 1, 1, 1, 1, 1, 1]","[1255.599999973827, -2231.599999973725, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 61, 1, 1, 1, 1, 1, 1, 1]","[1506.3999999595108, -2677.6999999594555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 71, 1, 1, 1, 1, 1, 1, 1]","[1756.619999946066, -3122.7199999459917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 81, 1, 1, 1, 1, 1, 1, 1]","[2007.7599999327795, -3569.1599999326645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 91, 1, 1, 1, 1, 1, 1, 1]","[2258.819999910076, -4015.5199999099495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 11, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 21, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 31, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 41, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 51, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 61, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 71, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 81, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 91, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 11, 1, 1, 1, 1, 1]","[225.40000000401778, -370.7000000040134, 152.5200000227269, -386.2200000230805, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 21, 1, 1, 1, 1, 1]","[337.7250000052445, -559.0600000054692, 228.5749999634354, -592.3749999638821, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 31, 1, 1, 1, 1, 1]","[337.7250000052445, -559.0600000054692, 228.5749999634354, -592.3749999638821, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 41, 1, 1, 1, 1, 1]","[337.7250000052445, -559.0600000054692, 228.5749999634354, -592.3749999638821, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 51, 1, 1, 1, 1, 1]","[337.7250000052445, -559.0600000054692, 228.5749999634354, -592.3749999638821, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 61, 1, 1, 1, 1, 1]","[337.7250000052445, -559.0600000054692, 228.5749999634354, -592.3749999638821, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 71, 1, 1, 1, 1, 1]","[337.7250000052445, -559.0600000054692, 228.5749999634354, -592.3749999638821, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 81, 1, 1, 1, 1, 1]","[337.7250000052445, -559.0600000054692, 228.5749999634354, -592.3749999638821, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 91, 1, 1, 1, 1, 1]","[337.7250000052445, -559.0600000054692, 228.5749999634354, -592.3749999638821, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 11, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 21, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 31, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 41, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 51, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 61, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1, 1, 1, 1, 71, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
