Sim Instant,Robot State,Machines State,Machine CT,Machines Breakdowns,Machines Idle Time,Buffers State
100,"('InputStock', 'M1')","[False, False, False, False, False, False, False]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
220.8138776201988,"('M1', 'M2')","[False, False, False, False, False, False, False]","[110.4069388100994, 220.8138776201988, 220.8138776201988, 220.8138776201988, 220.8138776201988, 220.8138776201988, 220.8138776201988]","[0, 0, 0, 0, 0, 0, 0]","[99.99999999999999, 0, 0, 0, 0, 0, 0]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
471.80824450583884,"('M2', 'M3')","[False, False, False, False, False, False, False]","[235.90412225291942, 235.90412225291942, 471.80824450583884, 471.80824450583884, 471.80824450583884, 471.80824450583884, 471.80824450583884]","[0, 0, 0, 0, 0, 0, 0]","[99.99999999999999, 220.8138776201988, 0, 0, 0, 0, 0]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
1572.8020456272936,"('M3', 'M4')","[False, False, False, False, False, False, False]","[786.4010228136468, 786.4010228136468, 786.4010228136468, 1572.8020456272936, 1572.8020456272936, 1572.8020456272936, 1572.8020456272936]","[0, 0, 0, 0, 0, 0, 0]","[99.99999999999999, 220.8138776201988, 471.80824450583873, 0, 0, 0, 0]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
1683.8187166662256,"('M4', 'M5')","[False, False, False, False, False, False, False]","[841.9093583331128, 841.9093583331128, 841.9093583331128, 841.9093583331128, 1683.8187166662256, 1683.8187166662256, 1683.8187166662256]","[0, 0, 0, 0, 0, 0, 0]","[99.99999999999999, 220.8138776201988, 471.80824450583873, 1572.8020456272934, 0, 0, 0]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
1884.5360784233449,"('M5', 'M6')","[False, False, False, False, False, False, False]","[942.2680392116724, 942.2680392116724, 942.2680392116724, 942.2680392116724, 942.2680392116724, 1884.5360784233449, 1884.5360784233449]","[0, 0, 0, 0, 0, 0, 0]","[99.99999999999999, 220.8138776201988, 471.80824450583873, 1572.8020456272934, 1683.8187166662256, 0, 0]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
2045.6712064154199,"('M6', 'M7')","[False, False, False, False, False, False, False]","[1022.8356032077099, 1022.8356032077099, 1022.8356032077099, 1022.8356032077099, 1022.8356032077099, 1022.8356032077099, 2045.6712064154199]","[0, 0, 0, 0, 0, 0, 0]","[99.99999999999999, 220.8138776201988, 471.80824450583873, 1572.8020456272934, 1683.8187166662256, 1884.5360784233449, 0]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
2196.48120160157,"('M7', 'OutputStock')","[False, False, False, False, False, False, False]","[1098.240600800785, 1098.240600800785, 1098.240600800785, 1098.240600800785, 1098.240600800785, 1098.240600800785, 1098.240600800785]","[0, 0, 0, 0, 0, 0, 0]","[99.99999999999999, 220.8138776201988, 471.80824450583873, 1572.8020456272934, 1683.8187166662256, 1884.5360784233449, 2045.6712064154194]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
2296.48120160157,"('InputStock', 'M1')","[False, False, False, False, False, False, False]","[1148.240600800785, 1148.240600800785, 1148.240600800785, 1148.240600800785, 1148.240600800785, 1148.240600800785, 1148.240600800785]","[0, 0, 0, 0, 0, 0, 0]","[99.99999999999999, 220.8138776201988, 471.80824450583873, 1572.8020456272934, 1683.8187166662256, 1884.5360784233449, 2045.6712064154194]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
2417.4357315721772,"('M1', 'M2')","[False, False, False, False, False, False, False]","[805.811910524059, 1208.7178657860886, 1208.7178657860886, 1208.7178657860886, 1208.7178657860886, 1208.7178657860886, 1208.7178657860886]","[0, 0, 0, 0, 0, 0, 0]","[2275.667323981371, 220.8138776201988, 471.80824450583873, 1572.8020456272934, 1683.8187166662256, 1884.5360784233449, 2045.6712064154194]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
