Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
1,"[0.0, 458.2432144761733, 332.71109572431305, 111367.38804948663, 130215.32896160393, 81064.66973770873, 131186.80752712823]","[82437.0, 68503.24321447618, 332.71109572431305, 81008.09372565539, 73831.23130515704, 81064.66973770873, 73800.99749687628]","[0, 0, 1, 1, 1, 0, 2]","[505.2631578947368, 744.8275862068965, 1053.658536585366, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941]",85.0,1016.4705882352941
2,"[0.0, 876.9418280595928, 0.0, 82438.56282473063, 106307.77267099649, 157605.39963619242, 79422.59050858079]","[78176.0, 58695.941828059586, 0.0, 82438.56282473062, 71680.34688482803, 74427.61960704849, 79422.59050858079]","[1, 1, 3, 0, 1, 1, 0]","[354.0983606557377, 621.5827338129496, 1136.842105263158, 1122.077922077922, 1107.6923076923076, 1093.6708860759493, 1080.0]",80.0,1080.0
3,"[0.0, 1297.3524250019327, 0.0, 178689.12601969484, 77312.31976086045, 80831.55385502009, 81719.72358426591]","[79096.0, 55467.35242500194, 0.0, 77599.40231879734, 77312.31976086044, 80831.55385502009, 81719.72358426591]","[0, 1, 0, 2, 0, 0, 0]","[258.68263473053895, 482.6815642458101, 1004.6511627906976, 993.1034482758621, 981.8181818181819, 970.7865168539325, 960.0]",90.0,960.0
4,"[0.0, 57864.66507098699, 2135.962523230577, 84937.024070668, 77646.65271124546, 80926.43524724813, 81757.54802816996]","[77290.0, 43515.59211423854, 2135.962523230577, 84937.02407066802, 77646.65271124546, 80926.43524724813, 81757.54802816996]","[0, 4, 1, 0, 0, 0, 0]","[211.76470588235293, 425.615763546798, 1080.0, 1066.6666666666667, 1053.658536585366, 1040.9638554216867, 1028.5714285714287]",84.0,1028.5714285714287
5,"[0.0, 2132.3598227625334, 167.93075886488805, 84945.6304051434, 77477.11793206315, 80837.13674165335, 141830.84714308323]","[72005.0, 46335.35982276253, 167.93075886488805, 84945.63040514341, 77477.11793206316, 80837.13674165333, 78009.71864474862]","[1, 1, 1, 0, 0, 0, 1]","[176.3265306122449, 367.6595744680851, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
6,"[0.0, 2547.8425150881085, 376.90571964180344, 84829.67436188465, 134748.34289804864, 81251.02131202229, 82001.86032530302]","[73829.0, 46265.84251508811, 376.90571964180344, 84829.67436188467, 74125.3377889938, 81251.0213120223, 82001.86032530299]","[0, 0, 2, 0, 1, 0, 0]","[152.65017667844523, 331.0344827586207, 1107.6923076923076, 1136.842105263158, 1167.5675675675675, 1152.0, 1136.842105263158]",76.0,1136.842105263158
7,"[0.0, 2966.2069910320897, 587.7834601920767, 85006.13289060429, 77898.0419249319, 81098.56252462532, 81907.79643741633]","[72362.0, 41948.206991032086, 587.7834601920767, 85006.13289060429, 77898.0419249319, 81098.56252462535, 81907.79643741633]","[0, 0, 2, 0, 0, 0, 0]","[133.74613003095976, 296.9072164948454, 1107.6923076923076, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366]",82.0,1053.658536585366
8,"[0.0, 3382.5703189001288, 1388.7284989310501, 84550.54008011207, 76899.70953175964, 146684.27190234239, 81208.73540707122]","[70187.0, 32527.57031890013, 1388.7284989310501, 84550.54008011208, 76899.70953175964, 76233.55437983037, 81208.73540707122]","[0, 1, 0, 0, 0, 1, 0]","[118.0327868852459, 264.2201834862385, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976, 993.1034482758621, 981.8181818181819]",88.0,981.8181818181819
9,"[0.0, 3804.6378381005998, 828.5718783201191, 84614.94905613875, 99595.69653820919, 96744.2619916028, 81396.66916122727]","[68597.0, 32089.6378381006, 828.5718783201191, 84614.94905613874, 68569.4113038093, 75725.69155231338, 81396.66916122727]","[0, 0, 1, 0, 2, 1, 0]","[106.79851668726823, 244.0677966101695, 1066.6666666666667, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941]",85.0,1016.4705882352941
10,"[0.0, 4218.518674828465, 1807.0761102679899, 84607.81961149229, 77314.01839444373, 80598.36046377057, 81425.70026082316]","[62637.00000000001, 27691.51867482847, 1807.0761102679862, 84607.81961149229, 77314.01839444373, 80598.36046377057, 81425.70026082316]","[1, 0, 1, 0, 0, 0, 0]","[97.29729729729729, 225.5874673629243, 1080.0, 1066.6666666666667, 1053.658536585366, 1040.9638554216867, 1028.5714285714287]",84.0,1028.5714285714287
