Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
1,"[3636.3889140758197, 99.67506785158592, 2637.6653053880564, 4318.609435290219, 3799.9266224756498, 3166.2585327962324, 4236.973551429444]","[142996.815976388, 37378.15044434472, 2238661.4518244877, 2201130.161133932, 2201506.164845822, 2219192.4872514517, 2145343.1762962895]","[15, 12, 12, 22, 17, 14, 20]","[9564.575645756458, 14320.441988950277, 911.712979247274, 926.0450160771704, 943.918426802622, 960.3556872915894, 981.8181818181819]",2603.0,995.7741067998463
2,"[304.1247224727419, 115.98091168518582, 4185.943303742894, 2848.3670834335617, 2961.98777283498, 4104.85791240188, 2423.2825335740495]","[160722.04250894248, 43177.10381987051, 2220235.260345944, 2248761.217769561, 2190062.1269665975, 2183807.6890851636, 2176351.872448086]","[13, 18, 16, 16, 13, 19, 13]","[9564.575645756458, 14561.797752808989, 926.3759828448892, 939.811457577955, 953.6423841059602, 971.5142428785607, 994.2462600690449]",2574.0,1006.993006993007
3,"[267.3698995071003, 117.26718100679338, 1239.4994370479153, 3632.0139719540743, 4121.978419159502, 1913.7244594944293, 3989.3487389673974]","[141280.91742595955, 44425.193543157045, 2255123.880239278, 2227744.596015674, 2234146.510926722, 2241904.224985679, 2134378.053468621]","[11, 16, 11, 15, 17, 10, 15]","[9564.575645756458, 14320.441988950277, 906.9279216235129, 923.7348538845331, 940.4934687953556, 954.6961325966851, 972.972972972973]",2631.0,985.1767388825542
4,"[4334.332654381694, 115.78687537972016, 3272.1106432072684, 1828.4281885266155, 4135.598910468614, 3151.4811326935983, 2707.9492375242817]","[151234.85441006464, 43420.07826739506, 2226852.7087740526, 2250783.128871079, 2232224.4422328724, 2223290.001294436, 2190794.8789413706]","[21, 14, 14, 9, 18, 11, 11]","[9564.575645756458, 14400.0, 913.9633286318759, 929.3653639297239, 944.6064139941691, 957.8713968957871, 974.8025573523881]",2630.0,985.5513307984791
5,"[4580.241393775746, 110.3578578356572, 5245.589318671024, 2956.2856737020757, 3422.6231317591505, 4156.080723201494, 3436.148406755133]","[137804.5725803373, 41053.12311486448, 2190608.6887693526, 2265028.025298577, 2214447.4571689786, 2208179.7554972214, 2168636.6769314557]","[19, 13, 19, 8, 13, 15, 14]","[9564.575645756458, 14480.446927374302, 917.1974522292994, 930.3661162957645, 942.8883230265551, 958.2255083179298, 981.0749432248297]",2604.0,995.3917050691244
6,"[2725.9726246193036, 118.46277324473922, 5021.192301623268, 3254.061921801961, 6213.661527717818, 1609.7537561820573, 3532.4811720785406]","[142302.85132285874, 43948.04772285875, 2191966.4312240006, 2244967.132708685, 2117412.4191277614, 2270070.7857848685, 2196630.7478834228]","[8, 16, 23, 15, 22, 10, 13]","[9564.575645756458, 14644.06779661017, 917.1974522292994, 932.3741007194244, 949.1028927132918, 967.525195968645, 987.052551408987]",2598.0,997.6905311778291
7,"[269.4939658349879, 110.71027112594604, 2134.658148802438, 3149.1136726995933, 2613.328180709493, 3076.107031160142, 3911.1880224912343]","[142292.47126919002, 41627.06194335571, 2221104.1136216098, 2189257.4039416877, 2206794.7051814008, 2241504.8969649742, 2070918.3506405447]","[18, 13, 11, 16, 13, 13, 20]","[9564.575645756458, 14320.441988950277, 910.1123595505618, 923.7348538845331, 939.811457577955, 956.8106312292359, 979.9621928166351]",2607.0,994.2462600690449
8,"[4802.322857857077, 61.98816755166402, 1458.5526963894172, 1122.2719380601359, 1950.7530784481091, 1038.4546236537358, 1164.4770058215229]","[48663.31065539741, 8120.449949267987, 744513.1553113372, 736863.1882310278, 728810.351929338, 753270.2025332495, 732118.2086093931]","[13, 15, 14, 16, 12, 14, 12]","[27870.967741935485, 40500.0, 2734.1772151898736, 2784.1031149301825, 2832.7868852459014, 2876.8035516093228, 2928.813559322034]",875.0,2962.285714285714
9,"[268.35251099216157, 108.76989865758308, 3091.352626022925, 3794.812912254425, 2616.1332338848897, 3267.681709629387, 3323.4780258642713]","[143301.77203055282, 40493.366061074674, 2180677.9821740896, 2218616.192304892, 2244747.1488845632, 2236700.3063370944, 2207987.9096391764]","[14, 15, 19, 15, 12, 10, 14]","[9564.575645756458, 14480.446927374302, 901.2517385257302, 917.1974522292994, 936.0780065005417, 952.9411764705883, 967.525195968645]",2657.0,975.5363191569439
10,"[489.7281092570094, 116.05713173130857, 3627.8241362952176, 2890.179694174819, 4068.5855929968297, 3861.559135710667, 3239.9183870144075]","[148002.572036643, 43521.424399240714, 2216780.6930877627, 2202047.7775873234, 2205235.1185316923, 2218061.3254628764, 2126402.3616430704]","[15, 14, 12, 16, 23, 15, 12]","[9564.575645756458, 14400.0, 922.748309006764, 938.1107491856677, 952.9411764705883, 967.8864824495893, 989.6907216494845]",2582.0,1003.8729666924864
