Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
1,"[0.0, 440.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[82522.0, 68151.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[0, 0, 0, 0, 0, 0, 0]","[496.55172413793105, 726.0504201680673, 1004.6511627906976, 993.1034482758621, 981.8181818181819, 970.7865168539325, 960.0]",90.0,960.0
2,"[0.0, 840.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[80922.0, 63651.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[0, 0, 0, 0, 0, 0, 0]","[340.15748031496065, 579.8657718120805, 1004.6511627906976, 993.1034482758621, 981.8181818181819, 970.7865168539325, 960.0]",90.0,960.0
3,"[0.0, 1240.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[79322.0, 59151.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[0, 0, 0, 0, 0, 0, 0]","[258.68263473053895, 482.6815642458101, 1004.6511627906976, 993.1034482758621, 981.8181818181819, 970.7865168539325, 960.0]",90.0,960.0
4,"[0.0, 1640.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[77722.0, 54651.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[0, 0, 0, 0, 0, 0, 0]","[208.69565217391303, 413.39712918660285, 1004.6511627906976, 993.1034482758621, 981.8181818181819, 970.7865168539325, 960.0]",90.0,960.0
5,"[0.0, 2040.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[76122.0, 50151.0, 0.0, 85140.0, 77310.0, 80830.0, 81720.0]","[0, 0, 0, 0, 0, 0, 0]","[174.8987854251012, 361.5062761506276, 1004.6511627906976, 993.1034482758621, 981.8181818181819, 970.7865168539325, 960.0]",90.0,960.0
6,"[0.0, 2440.0, 170.0, 85310.0, 77480.0, 81000.0, 81890.0]","[74692.0, 45821.0, 170.0, 85310.0, 77480.0, 81000.0, 81890.0]","[0, 0, 0, 0, 0, 0, 0]","[150.5226480836237, 321.18959107806694, 1004.6511627906976, 993.1034482758621, 981.8181818181819, 970.7865168539325, 960.0]",90.0,960.0
7,"[0.0, 2840.0, 370.0, 85510.0, 77680.0, 80260.0, 81140.0]","[73292.0, 41521.0, 370.0, 85510.0, 76780.0, 80260.0, 81140.0]","[0, 0, 0, 0, 0, 0, 0]","[132.11009174311926, 288.96321070234114, 1004.6511627906976, 993.1034482758621, 993.1034482758621, 981.8181818181819, 970.7865168539325]",89.0,970.7865168539325
8,"[0.0, 3119.0, 570.0, 84720.0, 76980.0, 80460.0, 81340.0]","[70912.0, 36371.0, 570.0, 84720.0, 76980.0, 80460.0, 81340.0]","[0, 0, 0, 0, 0, 0, 0]","[117.87175989085948, 263.4146341463415, 1016.4705882352941, 1004.6511627906976, 993.1034482758621, 981.8181818181819, 970.7865168539325]",89.0,970.7865168539325
9,"[0.0, 3640.0, 1570.0, 84730.0, 77080.0, 80520.0, 81390.0]","[69332.0, 32021.0, 1570.0, 84730.0, 77080.0, 80520.0, 81390.0]","[0, 0, 0, 0, 0, 0, 0]","[106.4039408866995, 242.01680672268907, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976, 993.1034482758621, 981.8181818181819]",88.0,981.8181818181819
10,"[0.0, 4040.0, 1770.0, 84930.0, 77280.0, 80720.0, 81590.0]","[67932.0, 27721.0, 1770.0, 84930.0, 77280.0, 80720.0, 81590.0]","[0, 0, 0, 0, 0, 0, 0]","[96.8609865470852, 223.25581395348837, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976, 993.1034482758621, 981.8181818181819]",88.0,981.8181818181819
