Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
1,"[0.0, 1.7569819176716968, 280.6105492222798, 209.58218201923674, 317.5078203546166, 699.1543154394956, 217.52348330482064, 142.37013646296992]","[0.0, 62002.58143174474, 486522.2017455307, 491961.0485301658, 1426042.3361407586, 1971553.5451409845, 602012.3921834521, 1611321.2671755822]","[19, 19, 15, 14, 15, 16, 23, 10]","[138.47633294155358, 139.2126322573715, 278.6797118589399, 278.859601936525, 139.53488372093022, 139.66269734360688, 139.70786395731147, 139.71539456662356]",18552.0,139.71539456662356
2,"[0.0, 8.474654004440415, 266.42221208353254, 34.56427171538718, 583.3013324664468, 469.02872351788653, 163.8853449712251, 487.8309710211246]","[0.0, 60160.0918957043, 489108.99203560164, 492037.89976165537, 1422176.6156719746, 1995110.929046685, 604199.8928861483, 1563703.9430730806]","[19, 17, 8, 14, 19, 16, 8, 20]","[137.3900137814057, 138.07798849350095, 274.51811056979454, 278.41031149301824, 138.328530259366, 138.4245660881175, 138.48373136720627, 138.48373136720627]",18717.0,138.48373136720627
3,"[0.0, 0.850718822628422, 274.7190522970968, 271.8064593172912, 139.73152998952344, 298.5843593248532, 169.16166983059122, 364.3385675717442]","[0.0, 32858.16380520017, 450073.681216025, 451638.1284999257, 1415929.8089478365, 1977441.1390222576, 546067.6498557135, 1552991.0169444063]","[10, 13, 12, 11, 13, 13, 16, 14]","[133.56693806039368, 134.26573426573427, 268.65671641791045, 268.9354637891679, 134.49564134495643, 134.59341572333577, 134.64935064935065, 134.6563457841966]",19249.0,134.6563457841966
4,"[0.0, 1.6685954213163572, 156.0600693512996, 247.0374827476072, 333.2163610596538, 374.6109319477519, 145.9050893109157, 358.7945204663256]","[0.0, 63476.70701771686, 488174.97318146884, 493962.94834957056, 1429223.2584986277, 1992697.2218801668, 573367.0156343797, 1576323.0469800585]","[18, 17, 7, 11, 15, 14, 14, 14]","[135.64998953317982, 136.33494634967388, 271.413612565445, 274.45997458703937, 136.55761024182075, 136.6439981021667, 136.71607152275965, 136.7449221841203]",18955.0,136.7449221841203
5,"[0.0, 1.207957773063629, 130.12548039686425, 342.89468921769014, 247.2667365195465, 396.795058941225, 117.67838499075113, 303.6281603124813]","[0.0, 46286.525948252136, 460100.8988214034, 459255.1901651304, 1419563.6134878383, 1980964.1995698558, 564591.7840591946, 1552830.4216159005]","[13, 11, 14, 12, 15, 13, 12, 17]","[134.64935064935065, 135.33127969508692, 271.49890017806644, 270.3097298988424, 135.55067461562598, 135.63579277864991, 135.71391172312687, 135.74234092694422]",19095.0,135.74234092694422
6,"[0.0, 51.17072374438963, 355.9456245101924, 194.01333701292901, 612.8135428919365, 500.3935679081267, 217.86651492421473, 504.5511514636261]","[0.0, 48452.43277330653, 471570.30984370876, 478806.9025785262, 1422272.033742378, 1991665.567253319, 578911.7721472662, 1553769.8651620932]","[15, 19, 13, 13, 15, 13, 11, 20]","[136.04870879697668, 136.75213675213675, 273.2159797617793, 274.2857142857143, 136.95445419000316, 137.02685557200255, 137.07033315705976, 137.07033315705976]",18910.0,137.07033315705976
7,"[0.0, 1.2418069380051797, 255.96250617142118, 176.5226193798017, 402.8085474345991, 581.9633251108686, 103.53064120217054, 477.97981370714666]","[0.0, 47145.20040136665, 450959.69414992456, 450526.9055586156, 1377739.2990134545, 1919716.7386673046, 532697.5174138473, 1532939.666710492]","[15, 10, 7, 14, 13, 13, 22, 24]","[135.85617694847738, 136.58639405596247, 271.9832109129066, 275.2761257434155, 137.02685557200255, 137.22998729351968, 137.3681700143092, 137.39729658097005]",18865.0,137.39729658097005
8,"[0.0, 1.0125759147460538, 72.47638924207239, 241.04926334038362, 185.9431095520885, 299.02383723824386, 162.8019302694825, 198.8168826723338]","[0.0, 38666.22388049281, 464541.7927298168, 460491.6667807702, 1429901.7187531563, 2005695.079071872, 565637.4759170124, 1566392.3007450618]","[11, 15, 12, 19, 17, 11, 16, 14]","[135.09850932971958, 135.81346607283206, 271.10134923125196, 272.75597179837945, 136.07013491521866, 136.16305946627443, 136.2203069161236, 136.23462630085146]",19026.0,136.23462630085146
9,"[0.0, 1.2964801009697868, 197.12472654976335, 73.1589043694084, 243.01161392943447, 420.47218960237325, 177.64721545112764, 240.41616535125036]","[0.0, 49268.83679705384, 447952.7537710258, 455110.06829534436, 1415399.9930055179, 1993686.577914268, 573699.0812711131, 1587300.38397872]","[14, 11, 18, 12, 17, 16, 19, 11]","[135.77078204389503, 136.4569623585154, 274.48903950015887, 271.89761879786005, 136.70886075949366, 136.83154727339914, 136.91828218266335, 136.93998309382926]",18928.0,136.93998309382926
10,"[0.0, 1.3667268663920418, 353.57157724528685, 104.89290463104835, 433.1485761421198, 418.87585910482437, 235.79253188125017, 319.99575778068373]","[0.0, 51537.903404777506, 464899.4649217342, 468671.724837829, 1406609.4536664449, 1977914.9148352493, 582062.518231445, 1571147.3026798186]","[16, 14, 18, 9, 17, 14, 17, 17]","[136.78100263852244, 137.52851912771263, 277.5457757789913, 273.3600506222316, 137.87967445076865, 138.00447236716005, 138.09270111880662, 138.12213577746988]",18766.0,138.12213577746988
11,"[0.0, 0.955833850519429, 223.31821336294698, 402.88392527246776, 548.3566850561648, 509.3652426157782, 211.4854224305005, 326.2928880369116]","[0.0, 35925.01527177274, 450109.56398318335, 453579.8684948292, 1406765.032668813, 1989198.585769725, 600757.5678507879, 1588692.3042995385]","[10, 16, 10, 22, 22, 16, 17, 13]","[137.26632420695864, 137.98977853492335, 273.82210014789774, 278.9196169159583, 138.32114840706546, 138.43195898312325, 138.49853059043548, 138.52073535699017]",18712.0,138.52073535699017
12,"[0.0, 1.2887142609071758, 225.92120814244515, 104.64254575154693, 321.7077338746643, 316.2765412041532, 70.66572404888777, 333.51230400187893]","[0.0, 49200.53305291416, 480359.57622198795, 477673.89966153936, 1445683.8379041755, 2014864.432612528, 580391.255054824, 1568060.527692679]","[16, 17, 13, 15, 12, 12, 16, 13]","[135.13372608310308, 135.8490566037736, 271.5557883708748, 272.38335435056746, 136.10586011342156, 136.20599054125066, 136.270437937017, 136.28476786371525]",19019.0,136.28476786371525
13,"[0.0, 1.6047207651996784, 73.2026161946411, 25.638868708688058, 401.65427741712307, 401.9373276205208, 230.84423546457953, 181.5243618982288]","[0.0, 59862.50342500881, 481280.79992796766, 479202.31111031555, 1421798.5526676674, 1975199.2357430917, 580213.9675781535, 1588591.3706400597]","[17, 17, 17, 13, 15, 14, 23, 14]","[138.35068054443556, 139.03341736844928, 279.40066831949986, 277.07108498129344, 139.20515574650912, 139.32487637067297, 139.41480206540447, 139.4298009682625]",18590.0,139.4298009682625
14,"[0.0, 34.46781957016254, 177.7272131948341, 146.7532586641032, 369.8014080602691, 571.4684630597502, 225.5353672766681, 255.16466562198693]","[0.0, 46852.73740042851, 474592.32825042837, 474897.1997834339, 1414143.9168489047, 1984672.1590014647, 573658.7076411335, 1593313.0427237824]","[15, 16, 10, 12, 17, 13, 20, 10]","[135.96307175828787, 136.65840670638477, 273.18718381112984, 273.93785668991757, 136.91105007394887, 137.03409992069786, 137.09208229756175, 137.09208229756175]",18907.0,137.09208229756175
15,"[0.0, 0.9142166904579709, 392.3755635798178, 93.95828299498957, 274.3580368080495, 539.2715343216066, 104.03924218669854, 361.1950739064184]","[0.0, 34675.32485238038, 474238.7867960887, 480275.5163295845, 1425259.7276301172, 1983725.238606114, 575219.2402273044, 1537533.8077801971]","[10, 22, 13, 10, 14, 14, 9, 22]","[136.06299212598427, 136.75935208146467, 274.0247383444339, 273.4177215189873, 136.9472182596291, 137.05583756345177, 137.12109189017616, 137.14285714285714]",18900.0,137.14285714285714
16,"[0.0, 1.2463683000588053, 43.76687230403895, 193.21626366923834, 223.78708205410774, 213.8840509396694, 91.70248904138772, 364.2983262308904]","[0.0, 48580.94359969211, 469750.43987889943, 463531.0685131567, 1458029.4278487046, 2029559.9888302328, 549044.4093961236, 1562737.2601553733]","[14, 11, 16, 14, 9, 8, 13, 10]","[132.37321893672438, 133.03905969306575, 266.9962917181706, 265.519360786724, 133.16892725030826, 133.23053199691597, 133.28533964107575, 133.29219376735574]",19446.0,133.29219376735574
17,"[0.0, 34.408505373162484, 380.2406188480844, 396.2211187238769, 424.8403761808455, 546.1338707867827, 56.1178608546781, 336.4554247537645]","[0.0, 66765.6989283931, 471879.65241304715, 469202.1205063638, 1427649.2823352513, 2005936.9591263612, 624790.3160938995, 1599871.9276079105]","[20, 15, 19, 23, 19, 13, 16, 13]","[138.5577591275993, 139.33236574746007, 277.84328438203454, 280.3677663601947, 139.7455251240026, 139.93413593910273, 140.05511428108284, 140.07782101167317]",18504.0,140.07782101167317
18,"[0.0, 39.80090608648341, 88.9231999344801, 254.8019338244756, 359.77596763460514, 367.7567500159236, 111.5593024919424, 390.2455775937282]","[0.0, 64961.40836216259, 477636.76532502315, 474191.37385256845, 1404914.8607857516, 1973173.1971397838, 575749.2437332093, 1573323.9115214115]","[20, 12, 8, 12, 18, 12, 18, 17]","[137.03409992069786, 137.74046126049527, 274.6344564526383, 276.8343479653957, 137.9750878313638, 138.11477593648425, 138.20314582777925, 138.21788513837785]",18753.0,138.21788513837785
19,"[0.0, 1.0503202220567254, 158.39692958573005, 282.2086520466238, 277.44704108632, 544.1536910602599, 235.61384828047494, 547.0811345143137]","[0.0, 39599.17301198266, 475989.72154811444, 475238.3755828284, 1425528.0055886293, 1975464.144277763, 579715.7232498483, 1541237.374986766]","[11, 21, 12, 16, 13, 16, 11, 24]","[136.88212927756655, 137.5796178343949, 274.838299225957, 275.9501756627276, 137.77706904799874, 137.89434484226206, 137.9824327921214, 137.99712505989459]",18783.0,137.99712505989459
